country,date,population_density,total_population,urban_population_pct,fertility_rate,age_dependency_ratio,life_expectancy,infant_mortality,gdp_per_capita,gross_capital_form_pct,inflation_rate,trade_pct_gdp,fdi_inflows_pct,country-year,gdp_growth,country_code
Brazil,2015,24.1292359304821,0.13782651192764417,85.77,1.777,43.5935934449924,75.106,13.7,0.09279306171235088,17.4116258675005,9.02990102416137,26.95362593736,3.59214931791344,Brazil 2015,-27.199991790338096,1
Brazil,2016,24.3137963709629,0.13891331546183155,86.042,1.727,43.4398109123601,75.081,14.6,0.09173243785576173,14.9695469721031,8.73914352329392,24.5336820777006,4.13737803865892,Brazil 2016,-1.1180381771495496,1
Brazil,2017,24.4915070817191,0.13995978364325604,86.309,1.74,43.3713300884192,75.383,13.3,0.10494083692258224,14.6255875978858,3.44637335032668,24.3197343743057,3.33825981739039,Brazil 2017,14.080833059474674,1
Brazil,2018,24.659465024515,0.14094882162642244,86.569,1.744,43.4316522323209,75.633,13.1,0.09666214349238386,15.0950416291605,3.66485028376727,28.8762033763866,4.07858821454947,Brazil 2018,-7.736192794308527,1
Brazil,2019,24.8207686159839,0.1418986747630365,86.824,1.705,43.5397483001089,75.809,13.0,0.09378708808892511,15.5167908009424,3.73297621216898,28.8902578698964,3.692673213156,Brazil 2019,-2.911925975114016,1
Brazil,2020,24.9649852718428,0.14274790968503703,87.073,1.653,43.586067027448,74.506,12.8,0.07302644323407648,16.1158206039466,3.21176803803373,32.3020785437939,2.59263795310275,Brazil 2020,-21.657537029197083,1
Brazil,2021,25.0714027283582,0.14337456005246646,87.317,1.638,43.6404698393342,73.038,12.7,0.08256305638135036,19.5218850206383,8.30165975585677,37.6563307598082,2.77979084938159,Brazil 2021,12.6988727478623,1
Brazil,2022,25.161867951482,0.14390727401844902,87.555,1.629,43.7902629940777,74.872,12.6,0.0964569583979888,18.0882204442366,9.28010608956872,38.8160659763397,3.8221961533297,Brazil 2022,16.416314556170363,1
Canada,1980,2.73441758991879,0.013011126166522502,75.663,1.74,47.3985568982632,75.1021951219512,10.3,0.11691218623023536,23.7626589533241,10.1292205085453,53.3179757243811,2.11563482971635,Canada 1980,,2
Canada,1981,2.76835266836873,0.013225479634713783,75.712,1.7,46.8100121695388,75.4978048780488,9.7,0.1293415075127349,25.2960435228772,12.4716124148372,52.1025741262576,0.216022151557611,Canada 1981,10.446225431378299,2
Canada,1982,2.80148233412413,0.013434745653213339,75.874,1.69,46.4572248212022,75.7251219512195,9.2,0.13091558047997634,19.9239530013061,10.7689718997139,46.6158827969427,0.0286228735724806,Canada 1982,1.197804559606075,2
